id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
80,Kingstown,[],,Saint Vincent and the Grenadines,VCT,North America,13.1561864,-61.2279621,0.0,24518,99924.0,7.4,95.8,171.4,37.0,,0.0,"[Jo4F5d3i5vc,Utbp-53sqfQ,dzSEjg4LSXI,CEILgHNtov8]","[[0],[0],[0],[0,0]]","[[222],[0],[14],[66,835]]","[[842],[868],[1180],[730,1117]]","[0,0,0,0]","[31012021,4042021,31012021,22082021]","[UCZ5rQ5hyncA0ILdwF1pv9Ow,UCZ5rQ5hyncA0ILdwF1pv9Ow,UCZ5rQ5hyncA0ILdwF1pv9Ow,UCZ5rQ5hyncA0ILdwF1pv9Ow]"
81,George Town,[],,Cayman Islands,CYM,North America,19.2953549,-81.3807776,0.0,29370,75844.0,,98.72,171.07,41.0,,0.0,"[AZJVdhRSjVg,dUjP2bOuS9s]","[[0],[0]]","[[15],[986]]","[[1941],[2660]]","[0,0]","[5092024,6092023]","[UC7AdmkVCXrZ_BzQzJp8AtmA,UC65YnzGMlv3xnH9ZgIzD7ZA]"
82,Santo Domingo,[],,Dominican Republic,DOM,North America,18.4801972,-69.942111,37.5,2201941,11520487.0,64.6,93.6,167.93,28.9,39.0,179.25,"[J7ONuy3XSd4,SPRj53rfVFM]","[[0],[0]]","[[0],[5]]","[[2782],[823]]","[0,0]","[9122021,6032021]","[UC2s4RE3zutDyS0Ibq06S7Gw,UCmAAWYOSR8C3u7ltRrqpe6Q]"
83,Sao Paulo,[São Paulo],,Brazil,BRA,South America,-23.5506507,-46.6333824,314.5,12400232,212812405.0,16.0,94.45,169.07,34.7,50.3,170.4,[Ic2ERD7kt4o],[[0]],[[30]],[[3630]],[0],[28032020],[UCBcVQr-07MH-p9e2kRTdB3A]
84,Lima,[],,Peru,PER,South America,-12.062107,-77.036526,114.4,7737002,34576665.0,13.6,97.0,160.57,31.0,40.1,225.1,[dk-NdzCrxvw],[[0]],[[27]],[[3627]],[0],[24042020],[UCBcVQr-07MH-p9e2kRTdB3A]
85,Buenos Aires,[],,Argentina,ARG,South America,-34.6083696,-58.4440583,235.6,2891082,45851378.0,14.1,99.13,167.99,32.6,42.4,175.4,[surMRMf-oBI],[[0]],[[4920]],[[8520]],[0],[21072021],[UCBDXfZF4A9VahrC6ilrb5Tg]
86,Caracas,[],,Venezuela,VEN,South America,10.506098,-66.914602,70.0,3000000,28516896.0,39.0,97.19,166.79,30.0,44.7,141.6,[qRSlStvA6wE],[[0]],[[0]],[[3600]],[0],[13012019],[UCNVadYxHqNZ3PmtTUV_RUmA]
87,La Paz,[],,Bolivia,BOL,South America,-16.4955455,-68.1336229,0.0,1997370,12581843.0,21.1,98.76,161.84,26.2,40.9,0.0,[6Ks4qF3Rugg],[[0]],[[42]],[[3642]],[0],[22082023],[UCSMCv9FDp2R9_p1e0k61KwQ]
88,Bogotá,[Bogota],,Colombia,COL,South America,4.6534109,-74.0836547,0.0,7674366,53425635.0,15.4,94.97,164.91,32.2,54.4,0.0,[5fTQ6x7YUHs],[[0]],[[14624]],[[18224]],[0],[18122023],[UCSMCv9FDp2R9_p1e0k61KwQ]
89,Concepción,[Concepcion],,Chile,CHL,South America,-36.8270698,-73.0502064,0.0,223574,19859921.0,14.9,96.48,166.15,36.6,43.0,0.0,[uac5MDxyXLU],[[0]],[[12]],[[3612]],[0],[6122022],[UCaww6IPUqciv-YYGlAt8Eqw]
90,Petit Valley,[],,Trinidad and Tobago,TTO,South America,10.698057,-61.54764,0.0,8140,1367764.0,9.3,98.01,169.71,38.0,40.2,0.0,[E9CzlKpiEoU],"[[0,0]]","[[4177,7059]]","[[5736,9100]]",[0],[2062023],[UCPGDLxE-WH2WIXUL3G5AY9g]
